id_aluno;nome;id_curso;ano_ingresso
2023111001;Beatriz Carvalho;111;2023
2023111002;Lucas Santos;111;2023
2024111001;Gabriel Ribeiro;111;2024
2024111002;Fernanda Martins;111;2024
2025111001;Rodrigo Lima;111;2025
2025111002;Camila Teixeira;111;2025
2023211001;Amanda Moreira;211;2023
2023211002;Thiago Gomes;211;2023
2024211001;Carolina Lima;211;2024
2024211002;Rafael Costa;211;2024
2025211001;Vinícius Pereira;211;2025
2025211002;Letícia Souza;211;2025
2023311001;Matheus Silva;311;2023
2023311002;Larissa Araújo;311;2023
2024311001;Pedro Carvalho;311;2024
2024311002;Isabela Freitas;311;2024
2025311001;Diego Correia;311;2025
2025311002;Juliana Nunes;311;2025
